"","np","nRateCat","lnLik","AIC","dAIC","AICwt"
"1",5,1,-209.341356342941,428.682712685881,39.3465148102062,4.78428886755028e-10
"2",4,1,-209.344656110563,426.689312221126,37.3531143454511,1.2962202587409e-09
"3",4,1,-209.997174654967,427.994349309933,38.6581514342582,6.74984191636502e-10
"4",4,1,-210.218883939461,428.437767878922,39.1015700032468,5.40762394928603e-10
"5",4,1,-209.79628655725,427.5925731145,38.2563752388251,8.25160050823468e-10
"6",4,1,-209.79628631524,427.59257263048,38.2563747548054,8.25160250520362e-10
"7",14,2,-188.498895146574,404.997790293149,15.6615924174739,6.65170443760979e-05
"8",17,2,-188.498898769471,410.997797538941,21.6615996632663,3.31167663809858e-06
"9",17,2,-188.498897653205,410.997795306411,21.661597430736,3.31168033480983e-06
"10",16,2,-188.49895857808,408.997917156159,19.6617192804842,9.00153204186559e-06
"11",16,2,-188.504678870833,409.009357741665,19.6731598659902,8.95018763588397e-06
"12",8,2,-188.504675473026,393.009350946052,3.67315307037745,0.0266802239727917
"13",9,2,-188.504674372091,395.009348744183,5.67315086850755,0.0098151166912386
"14",7,2,-189.099516362378,392.199032724756,2.86283484908063,0.0400080917114955
"15",7,2,-189.64133058677,393.28266117354,3.94646329786548,0.0232723858729164
"16",6,2,-189.641332410127,391.282664820254,1.94646694457879,0.0632607882761513
"17",5,2,-189.725398246836,389.450796493672,0.11459861799699,0.158095588718867
"18",17,2,-188.49890237774,410.99780475548,21.6616068798052,3.31166468869849e-06
"19",16,2,-188.498985318165,408.99797063633,19.6617727606545,9.00129134335062e-06
"20",14,2,-188.498911725233,404.997823450466,15.6616255747905,6.65159416218861e-05
"21",13,2,-188.498899502141,402.997799004281,13.661601128606,0.000180811285473132
"22",12,2,-188.504700658948,401.009401317897,11.6732034422215,0.000488653040423842
"23",11,2,-188.50467821726,399.00935643452,9.67315855884488,0.00132832648975997
"24",9,2,-188.504675937512,395.009351875023,5.67315399934819,0.00981510132646752
"25",6,2,-189.296528908746,390.593057817492,1.25685994181737,0.0893060451173535
"26",5,2,-189.725398596771,389.450797193542,0.114599317866748,0.158095533395716
"27",6,2,-188.668100546774,389.336201093547,3.21787246093663e-06,0.167418646718648
"28",8,2,-188.663380948191,393.326761896382,3.99056402070704,0.022764837728083
"29",7,2,-188.663384775103,391.326769550207,1.99057167453157,0.0618810079104258
"30",6,2,-188.668098937837,389.336197875675,0,0.167418916084791
